1,,上海东海海洋工程勘察设计研究院,李培根,上海市,001710180035080731
2,913101203420130986,上海高准岩土工程有限公司,周立亚,上海市,001706240040057960
3,91310106671146940L,上海静协工程质量检测咨询有限公司,胡建华,上海市,001707010036059573
4,,上海东亚地球物理勘查有限公司,孙刚强,上海市,001706010036049248
5,,上海京海工程技术有限公司,徐丽娟,上海市,001607220057283183
6,91310113133437927Y,上海美路工程勘测有限公司,张玉成,上海市,001607220057295854
7,913101155997508002,上海元易勘测设计有限公司,侯先宝,上海市,001608160028006729
8,9131011613354030X2,上海新地海洋工程技术有限公司,吕东辉,上海市,001607220057354809
9,913101065916947016,上海祥测土木工程技术有限公司,秦世伟,上海市,001607220057298153
10,91310110757553686U,上海同岩土木工程科技股份有限公司,刘学增,上海市,001607220057256391
11,,上海新高桥凝诚建设工程检测有限公司,颜忠明,上海市,001607241427408357
12,,上海隧道工程质量检测有限公司,赵峻,上海市,001607241427408345
13,9131011532081277XJ,上海立胜工程检测技术有限公司,鲁欢,上海市,001607220057282095
14,913101186316236853,上海兴浦工程勘查有限公司,郑小勇,上海市,001607220057369632
15,913101107362199968,上海长凯岩土工程有限公司,陈晖,上海市,001607220057273170
16,913100006315532693,上海港湾基础建设（集团）有限公司,徐士龙,上海市,001607220057364989
17,91310107753807554P,上海众合检测应用技术研究所有限公司,杨世如,上海市,001607220057257745
18,91310116751891422P,上海山南勘测设计有限公司,王延华,上海市,001607220057340763
19,91310117067763694B,上海远淙工程技术有限公司,李永成,上海市,001607220057376607
20,91310114593184844K,上海城地岩土设计有限公司,赵孝龙,上海市,001607220057353672
21,913100006310557025,上海强劲地基工程股份有限公司,宋伟民,上海市,001607220057341341
22,91310230550024840M,上海林龙电力工程有限公司,胡协春,上海市,001607220057346868
23,91310113133430995D,上海宝冶工程技术有限公司,阳刚,上海市,001607220057361145
24,913100000576752447,上海国孚电力设计工程股份有限公司,李磊,上海市,001607220057308175
25,9131023013462912XG,上海港湾工程质量检测有限公司,周国然,上海市,001607220057331962
26,91310000552950944W,上海泓源建筑工程科技股份有限公司,王辉,上海市,001607241427408311
27,91310107744207696C,上海同纳建设工程质量检测有限公司,孙晓宇,上海市,001607220057398216
28,91310107631887672B,上海兰德公路工程咨询设计有限公司,成红文,上海市,001607220057314848
29,91310000631189305E,上海建工集团股份有限公司,徐征,上海市,001607220057328980
30,913101147543075356,上海兴庚基础工程有限公司,王兴庚,上海市,001607220057337268
31,91371300776339546N,山东地矿开元勘察施工总公司,孙永胜,山东省,001607220057236697
32,91510922MA633RH09U,射洪县欣睿地质勘察有限责任公司,陈元钊,四川省,001709300037078319
33,91510107MA6CLLK16M,四川秦成建筑工程有限公司,刘跃建,四川省,001709300037078320
34,91510000555781883H,四川义诚劳务有限公司,杨云甫,四川省,001607220057317196
35,91510107MA6CLPK334,四川致远博工程勘察设计有限公司,马福桂,四川省,001705080035044731
36,913705007609546673,东营市海天勘察测绘有限公司,王福前,山东省,001607220057243829
37,913200001347968337,江苏省地质工程有限公司,黄夕川,江苏省,001607220057343537
38,,青海岩土工程勘察咨询公司,马林元,青海省,001607220057214961
39,,南宁市勘察测绘地理信息院,黄炳强,广西壮族自治区,001607220057397926
40,91450405199134494Q,地矿梧州地质工程勘察公司,罗兆军,广西壮族自治区,001607220057280453
41,,梧州市建筑设计院,韦铁军,广西壮族自治区,001607220057281601
42,,中化广西地质工程勘察院,蒋吉才,广西壮族自治区,001607220057308193
43,,广西三同工程勘察检测有限公司,阮经院,广西壮族自治区,001607220057324503
